Sun Mar  8 17:59:38 2026 | INFO  | drawSettingsScreen                       | Setting options and values
Sun Mar  8 17:59:38 2026 | INFO  | setOptionsAndValues                      | Full screen menu option
Sun Mar  8 17:59:38 2026 | INFO  | setOptionsAndValues                      | Fullscreen menu 
Sun Mar  8 17:59:38 2026 | INFO  | setOptionsAndValues                      | Default option
Sun Mar  8 17:59:38 2026 | INFO  | setOptionsAndValues                      | Default launcher  
Sun Mar  8 17:59:38 2026 | INFO  | setOptionsAndValues                      | Full screen menu hint
Sun Mar  8 17:59:38 2026 | INFO  | setOptionsAndValues                      | DISPLAY A TRANSLUCENT MENU
Sun Mar  8 17:59:38 2026 | INFO  | setOptionsAndValues                      | Default option hint
Sun Mar  8 17:59:38 2026 | INFO  | setOptionsAndValues                      | LAUNCH AFTER BOOTING
Sun Mar  8 17:59:38 2026 | INFO  | setOptionsAndValues                      | Full screen menu is...
Sun Mar  8 17:59:38 2026 | INFO  | setOptionsAndValues                      | enabled
Sun Mar  8 17:59:38 2026 | INFO  | setOptionsAndValues                      | Default option value
Sun Mar  8 17:59:38 2026 | INFO  | setOptionsAndValues                      | no
Sun Mar  8 17:59:38 2026 | INFO  | drawSettingsScreen                       | Drawing shit
Sun Mar  8 17:59:38 2026 | INFO  | drawRectangleToScreen                    | 320 - 218 - 0 - 22 - {250,250,250}
Sun Mar  8 17:59:38 2026 | INFO  | drawRectangleToScreen                    | Filling
Sun Mar  8 17:59:38 2026 | INFO  | drawRectangleToScreen                    | 320 - 42 - 0 - 0 - {37,50,56}
Sun Mar  8 17:59:38 2026 | INFO  | drawRectangleToScreen                    | Filling
Sun Mar  8 17:59:38 2026 | INFO  | drawRectangleToScreen                    | 320 - 4 - 0 - 42 - {121,121,121}
Sun Mar  8 17:59:38 2026 | INFO  | drawRectangleToScreen                    | Filling
Sun Mar  8 17:59:38 2026 | INFO  | drawSettingsScreen                       | Positioning batt 1
Sun Mar  8 17:59:38 2026 | INFO  | drawRectangleToScreen                    | 320 - 4 - 0 - 42 - {80,80,255}
Sun Mar  8 17:59:38 2026 | INFO  | drawRectangleToScreen                    | Filling
Sun Mar  8 17:59:38 2026 | INFO  | drawSettingsScreen                       | Defining number of items
Sun Mar  8 17:59:38 2026 | INFO  | drawSettingsScreen                       | About to go through items
Sun Mar  8 17:59:38 2026 | INFO  | drawSettingsScreen                       | one item
Sun Mar  8 17:59:38 2026 | INFO  | drawSettingsScreen                       | Chosen setting
Sun Mar  8 17:59:38 2026 | INFO  | drawSettingsScreen                       | Session 
Sun Mar  8 17:59:38 2026 | INFO  | drawSettingsScreen                       | quit
